Reg.code;Region;FO;Y.ORTorg.2013;KMPred.2013;Pers.comp.2013;RKBS.2012;RDDN.2013
1000;Российская Федеpация;NA;165051;144;94,0;8343,2;104,8
1001;Центpальный ФО;ЦФО;207394;147;94,7;NA;104,7
31;Белгородская область;ЦФО;144992;160;97,3;82653,3;102,5
32;Бpянская область;ЦФО;138669;95;91,4;44095,1;106,3
33;Владимиpская область;ЦФО;116202;134;94,8;50480,7;107,3
36;Воронежская область;ЦФО;158218;97;94,5;89176,6;108,4
37;Ивановская область;ЦФО;121813;189;95,4;36408,5;104,9
40;Калужская область;ЦФО;144553;129;95,8;53471,5;103,6
44;Костpомская область;ЦФО;104945;131;92,4;24751,2;102,6
46;Курская область;ЦФО;130337;92;90,3;46043,6;104,4
48;Липецкая область;ЦФО;151358;112;96,4;47298,7;103,8
50;Московская область1);ЦФО;191797;108;96,3;393216,0;101,6
57;Оpловская область;ЦФО;116988;95;90,0;31392,9;100,6
62;Рязанская область;ЦФО;123656;136;97,8;49666,3;104,0
67;Смоленская область;ЦФО;134889;135;94,7;41571,0;101,8
68;Тамбовская область;ЦФО;139912;81;87,2;42451,1;105,0
69;Твеpская область;ЦФО;133177;138;93,1;58711,5;102,5
71;Тульская область;ЦФО;136909;145;91,4;59703,4;100,2
76;Яpославская область;ЦФО;131399;202;94,0;64547,7;105,4
77;г. Москва1);ЦФО;333529;200;100,0;1540426,0;106,2
1002;Севеpо-Западный ФО;СЗФО;156056;239;96,2;NA;105,3
10;Республика Каpелия;СЗФО;136581;185;98,8;35395,1;100,0
11;Республика Коми;СЗФО;167697;148;96,5;69020,4;100,4
83;Ненецкий автономный округ;СЗФО;158161;119;99,2;70906,1;101,6
29;Архангельская область без АО;СЗФО;154177;147;96,1;57903,4;106,2
35;Вологодская область;СЗФО;112774;93;96,6;50076,8;105,6
39;Калининградская область;СЗФО;123113;224;94,6;89926,0;100,0
47;Ленингpадская область;СЗФО;141100;116;96,6;58975,4;106,6
51;Муpманская область;СЗФО;177300;78;96,2;33070,4;105,8
53;Новгоpодская область;СЗФО;136772;140;93,2;30373,5;101,8
60;Псковская область;СЗФО;127898;122;92,0;382262,5;100,5
78;г. Санкт-Петеpбуpг;СЗФО;181245;414;98,0;14739,5;107,6
1003;Южный ФО;ЮФО;153160;112;92,0;NA;108,7
1;Республика Адыгея;ЮФО;151236;84;99,8;15448,4;101,8
8;Республика Калмыкия;ЮФО;56382;36;96,9;10106,3;101,5
23;Краснодарский край;ЮФО;170772;109;96,4;278608,3;112,4
30;Астраханская область;ЮФО;147954;90;89,8;36362,1;104,7
34;Волгоградская область;ЮФО;117073;109;89,4;93281,8;103,0
